species,enrichment_fdr,n_genes,pathway_genes,fold_enrichment,pathway,url,genes,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,ensembl_id
Aedes aegypti,0.00455484,46,622,1.79912306,GO:0031323 reg. of cellular metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0031323,A0A1S4EXU7 Q17LA6 Q17K67 Q17J15 Q17I67 Q17H88 A0A1S4F4V4 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 Q176B9 A0A0P6IUG2 Q175K5 Q174A4 A0A1S4FGC2 A0A1S4FGH1 Q172C8 A0A1S4FH95 A0A1S4FJ71 Q16XJ6 Q16WN0 A0A1S4FM75 A0A1S4FP16 A0A1S4FR12 A0A0P6K0V3 A0A1S4FVW5 A0A0P6IVB5 Q16I75 A0A1S4G1X1 Q16G14 Q17EH0 A0A1S4FAT3 A0A0P6K0X9 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 Q16UC4 Q17NE5 Q16G79 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,1.99E-06,115,1624,1.72268249,GO:0050789 reg. of biological proc.,http://amigo.geneontology.org/amigo/term/GO:0050789,A0A1S4EVA2 Q17NJ1 Q17N19 Q17MN7 Q17MR3 A0A1S4EXX0 A0A1S4EXU7 Q17LA6 Q17K67 A0A1S4EZX0 Q17J15 Q17J05 Q17I67 A0A0P6K0W1 A0A1S4F207 Q17H88 A0A1S4F4V4 Q16I15 Q17D24 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 A0A1S4FD34 A0A1S4FD07 Q176B9 A0A0P6IUG2 Q175K5 A0A0B4U3Y7 A0A0P6IX28 Q174A4 A0A1S4FFA2 Q1HQW4 A0A1S4FGC2 A0A1S4FGH1 Q172C8 A0A1S4FH10 A0A1S4FH95 Q170R5 A0A1S4FJ71 A0A1S4FJ63 A0A1S4EYD6 A0A1S4FJZ7 A0A1S4FKB3 Q16XW4 Q16XJ6 A0A411JKH4 Q16WV5 Q16WN0 Q16WI3 Q16W03 A0A1S4FM75 Q16VR4 Q16VA1 A0A1S4FP16 A0A1S4FR12 A0A1S4G7S4 A0A1S4FU22 A0A0P6K0V3 A0A1S4FVW5 A0A0P6J0T1 A0A411JKA7 A0A1S4FXV3 A0A1S4FYE1 A0A1S4FYY2 J9HG16 A0A0P6IVB5 Q16IP4 Q16I75 A0A1S4G0T1 Q16HK0 A0A1S4G1X1 A0A1S4FN71 Q16G14 Q16FU0 A0A1S4FU68 J9HSS4 A0A1S4G5Q8 A0A1S4G7M5 A0A1S4G6Y0 A0A0P6J4M7 A0A0P6IVC8 A0A0P6IY86 Q17EH0 A0A1S4FAT3 A0A0P6ITT4 A0A0P6IVL3 A0A0P6K0X9 A0A1S4FER6 A0A0P6IXL7 Q16N83 Q172A2 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 A0A0P6ISZ2 Q17D27 Q16UC4 Q171K9 Q17NE5 Q16E68 Q16G79 Q16KH2 Q16Q60 A0A0P6IVK4 A0A0P6JS10 Q16LK0 Q16GL8 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,8.74E-06,105,1506,1.69612459,GO:0050794 reg. of cellular proc.,http://amigo.geneontology.org/amigo/term/GO:0050794,A0A1S4EVA2 Q17NJ1 Q17N19 Q17MN7 A0A1S4EXX0 A0A1S4EXU7 Q17LA6 Q17K67 A0A1S4EZX0 Q17J15 Q17J05 Q17I67 A0A0P6K0W1 A0A1S4F207 Q17H88 A0A1S4F4V4 Q17D24 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 A0A1S4FD34 Q176B9 A0A0P6IUG2 Q175K5 A0A0B4U3Y7 Q174A4 A0A1S4FFA2 Q1HQW4 A0A1S4FGC2 A0A1S4FGH1 Q172C8 A0A1S4FH10 A0A1S4FH95 A0A1S4FJ71 A0A1S4FJ63 A0A1S4EYD6 A0A1S4FJZ7 A0A1S4FKB3 Q16XW4 Q16XJ6 A0A411JKH4 Q16WV5 Q16WN0 Q16W03 A0A1S4FM75 Q16VR4 Q16VA1 A0A1S4FP16 A0A1S4FR12 A0A1S4G7S4 A0A1S4FU22 A0A0P6K0V3 A0A1S4FVW5 A0A0P6J0T1 A0A411JKA7 A0A1S4FXV3 A0A1S4FYE1 A0A1S4FYY2 J9HG16 A0A0P6IVB5 Q16IP4 Q16I75 Q16HK0 A0A1S4G1X1 A0A1S4FN71 Q16G14 Q16FU0 A0A1S4FU68 J9HSS4 A0A1S4G5Q8 A0A1S4G7M5 A0A0P6J4M7 A0A0P6IVC8 A0A0P6IY86 Q17EH0 A0A1S4FAT3 A0A0P6ITT4 A0A0P6K0X9 A0A1S4FER6 A0A0P6IXL7 Q16N83 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 A0A0P6ISZ2 Q17D27 Q16UC4 Q171K9 Q17NE5 Q16E68 Q16G79 Q16KH2 Q16Q60 A0A0P6IVK4 A0A0P6JS10 Q16LK0 Q16GL8 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00518186,53,762,1.6920544,GO:0007165 signal transduction,http://amigo.geneontology.org/amigo/term/GO:0007165,Q17NJ1 Q17N19 Q17MN7 A0A1S4EZX0 Q17J05 A0A0P6K0W1 Q17D24 A0A1S4FD34 A0A0B4U3Y7 Q1HQW4 A0A1S4FGC2 A0A1S4FH10 A0A1S4FJ63 A0A1S4EYD6 A0A1S4FJZ7 A0A1S4FKB3 Q16XW4 A0A411JKH4 Q16WV5 Q16W03 Q16VA1 A0A1S4G7S4 A0A1S4FU22 A0A0P6J0T1 A0A411JKA7 A0A1S4FXV3 A0A1S4FYY2 J9HG16 Q16IP4 Q16HK0 A0A1S4FN71 Q16FU0 A0A1S4FU68 J9HSS4 A0A1S4G5Q8 A0A0P6J4M7 A0A0P6IVC8 A0A0P6IY86 A0A1S4FAT3 A0A0P6ITT4 A0A1S4FER6 A0A0P6ISZ2 Q17D27 Q171K9 Q16E68 Q16KH2 Q16Q60 A0A0P6IVK4 A0A0P6JS10 Q16LK0 Q16GL8,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00478929,55,794,1.68513854,GO:0023052 signaling,http://amigo.geneontology.org/amigo/term/GO:0023052,Q17NJ1 Q17N19 Q17MN7 A0A1S4EZX0 Q17J05 A0A0P6K0W1 Q17D24 Q16IW8 A0A1S4FD34 A0A0B4U3Y7 Q1HQW4 A0A1S4FGC2 A0A1S4FH10 A0A1S4FJ63 A0A1S4EYD6 A0A1S4FJZ7 A0A1S4FKB3 Q16XW4 A0A411JKH4 Q16WV5 Q16W03 Q16VA1 A0A1S4G7S4 A0A1S4FU22 A0A0P6J0T1 A0A411JKA7 A0A1S4FXV3 A0A1S4FYE1 A0A1S4FYY2 J9HG16 Q16IP4 Q16HK0 A0A1S4FN71 Q16FU0 A0A1S4FU68 J9HSS4 A0A1S4G5Q8 A0A0P6J4M7 A0A0P6IVC8 A0A0P6IY86 A0A1S4FAT3 A0A0P6ITT4 A0A1S4FER6 A0A0P6ISZ2 Q17D27 Q171K9 Q16E68 Q16KH2 Q16Q60 A0A0P6IVK4 A0A0P6JS10 Q16LK0 Q16GL8,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.00478929,55,794,1.68513854,GO:0007154 cell communication,http://amigo.geneontology.org/amigo/term/GO:0007154,Q17NJ1 Q17N19 Q17MN7 A0A1S4EZX0 Q17J05 A0A0P6K0W1 Q17D24 Q16IW8 A0A1S4FD34 A0A0B4U3Y7 Q1HQW4 A0A1S4FGC2 A0A1S4FH10 A0A1S4FJ63 A0A1S4EYD6 A0A1S4FJZ7 A0A1S4FKB3 Q16XW4 A0A411JKH4 Q16WV5 Q16W03 Q16VA1 A0A1S4G7S4 A0A1S4FU22 A0A0P6J0T1 A0A411JKA7 A0A1S4FXV3 A0A1S4FYE1 A0A1S4FYY2 J9HG16 Q16IP4 Q16HK0 A0A1S4FN71 Q16FU0 A0A1S4FU68 J9HSS4 A0A1S4G5Q8 A0A0P6J4M7 A0A0P6IVC8 A0A0P6IY86 A0A1S4FAT3 A0A0P6ITT4 A0A1S4FER6 A0A0P6ISZ2 Q17D27 Q171K9 Q16E68 Q16KH2 Q16Q60 A0A0P6IVK4 A0A0P6JS10 Q16LK0 Q16GL8,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,6.50E-06,119,1756,1.6486022,GO:0065007 biological reg.,http://amigo.geneontology.org/amigo/term/GO:0065007,A0A1S4EVA2 Q17NJ1 Q17N19 Q17MN7 Q17MR3 A0A1S4EXX0 A0A1S4EXU7 Q17LA6 Q17K67 A0A1S4EZX0 Q17J15 Q17J05 Q17I67 A0A0P6K0W1 A0A1S4F207 Q17H88 A0A1S4F4V4 Q16I15 Q17D24 Q16IW8 A0A1S4F874 A0A1S4F8Q2 A0A1S4F9Z0 A0A0P6J0U9 A0A1S4FBU7 A0A1S4FBT4 A0A0P6K0Q7 A0A1S4FD34 A0A1S4FD07 Q176B9 A0A0P6IUG2 Q175K5 A0A0B4U3Y7 A0A0P6IX28 Q174A4 A0A1S4FFA2 Q1HQW4 A0A1S4FGC2 A0A1S4FGH1 Q172C8 A0A1S4FH10 A0A1S4FH95 Q170R5 A0A1S4FI57 A0A1S4FJ71 A0A1S4FJ63 A0A1S4EYD6 A0A1S4FJZ7 A0A1S4FKB3 Q16XW4 Q16XJ6 A0A411JKH4 Q16WV5 Q16WN0 Q16WI3 Q16W03 A0A1S4FM75 Q16VR4 Q16VA1 A0A1S4FP16 A0A1S4FR12 A0A1S4G7S4 A0A1S4FU22 A0A0P6K0V3 A0A1S4FVW5 A0A0P6J0T1 A0A411JKA7 A0A1S4FXV3 A0A1S4FYE1 A0A1S4FYY2 J9HG16 A0A0P6IVB5 Q16IP4 Q16I75 A0A1S4G0T1 Q16HK0 A0A1S4G1X1 A0A1S4FN71 Q16G14 Q16FU0 A0A1S4FU68 J9HSS4 A0A1S4G5Q8 A0A1S4G7M5 A0A1S4G6Y0 A0A0P6J4M7 A0A0P6IVC8 A0A0P6IY86 Q17EH0 A0A1S4FAT3 A0A0P6ITT4 A0A0P6IVL3 A0A0P6K0X9 Q16HF3 A0A1S4FER6 A0A0P6IXL7 Q16N83 Q172A2 A0A1S4FF96 A0A0P6J4C6 A0A0N8ES20 Q16K77 A0A0P6ISZ2 Q17D27 Q16UC4 Q171K9 Q17NE5 Q16E68 Q16G79 Q16KH2 Q16Q60 A0A0P6IVK4 A0A0P6JS10 Q16LK0 Q16GL8 A0A1S4FG91 A0A0N8ERY6,GO Biological Process,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.01387037,3,4,18.2454545,GO:0034707 chloride channel complex,http://amigo.geneontology.org/amigo/term/GO:0034707,Q16RK1 Q16P14,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,0.04448684,4,12,8.10909091,GO:0070461 SAGA-type complex,http://amigo.geneontology.org/amigo/term/GO:0070461,Q17J15 Q16IF7 A0A0N8ERY6,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
Aedes aegypti,3.66E-05,183,3166,1.40615632,GO:0016020 membrane,http://amigo.geneontology.org/amigo/term/GO:0016020,Q16KC4 Q17Q14 A0A1S4EVA2 A0A0P6IW15 Q0IGG1 A0A1S4EVW1 Q17P94 A0A1S4EWB0 Q17NJ1 Q17NM9 Q17NC4 Q17N19 Q17LP8 Q17LF9 A0A1S4EYT1 Q17KI5 Q17K92 A0A1S4F022 Q17IU2 Q16N73 Q17IA0 A0A1S4F207 A0A1S4F2H1 Q17HA9 A0A1S4F2T8 A0A1S4F315 A0A1S4F361 Q17GQ2 Q17GP3 Q17GF2 A0A1S4F5I3 A0A0P6K119 Q1HRI9 Q17CP4 Q17BE2 Q17BD1 A0A1S4F9K8 Q17AX2 Q17AJ3 A0A1S4FA68 A0A1S4FAE9 A0A1S4FAZ9 A0A1S4FB77 A0A1S4FBA9 Q0IFC5 Q178A4 A0A1S4FCX3 Q176Y4 Q176W7 Q176S8 A0A1S4FD34 A0A1S4FDA2 A0A0P6IYT0 Q176D2 Q0IF62 Q175U9 A0A0B4U3Y7 A0A1S4FEJ4 Q174T7 Q174T9 Q173U8 A0A1S4FFU4 Q173B0 Q1HRN7 A0A0N8ES65 A0A1S4FH10 Q0IEY6 A0A0P6IUU0 Q170D7 A0A1S4F5X0 A0A1S4FJ63 A0A1S4FJ60 A0A1S4EYD6 Q16XM5 A0A1S4FKX5 A0A411JKH4 Q16WU5 A0A1S4FLH5 A0A1S4FLP7 Q16WF1 Q16W03 Q16V79 A0A1S4FNS8 A0A1S4FPJ9 J9EAN8 Q16FD7 A0A1S4FR12 Q16SI7 Q16PC8 Q16S36 Q16RY8 Q16RP8 A0A1S4FRX2 Q16RK1 A0A1S4G3G5 A0A1S4FSU8 A0A1S4FST0 A0A1S4G7S4 A0A1S4FU22 Q16PH9 Q16NS2 Q16NF2 Q1HQG4 A0A0N8ES29 A0A1S4FVM5 A0A0N8ES45 A0A1S4FWE5 Q16LW6 Q16LS8 A0A0P6J0T1 Q1HQI4 Q16KJ5 A0A1S4FX89 A0A411JKA7 Q16K45 A0A1S4FYE1 Q16JQ4 A0A1S4FYY2 J9HG16 A0A1S4G0B0 A0A1S4G0T1 Q16HN0 Q16GZ8 A0A1S4G0Z6 A0A1S4G219 Q16GJ5 Q17GM1 A0A1S4G2H8 A0A1S4FU68 Q16LQ3 J9HS29 J9HSS4 A0A2C9GG62 A0A1S4G638 J9EB97 A0A1S4G7M5 A0A1S4G6Y0 A0A1S4G832 A0A1S4G7G9 Q16MP8 A0A0P6IZR0 A0A0P6J4J0 A0A1S4G7U1 A0A0P6J5D2 Q17G69 A0A1S4FER6 Q17A91 Q0IG88 Q16PD9 Q16ND4 Q16XX7 Q16P14 A0A1S4FXX4 A0A0P6K0Q3 A0A1S4EYV5 A0A1S4FH62 J9EAF0 A0A1S4FMM9 Q176Q6 Q1HR57 Q171K9 Q16LX7 Q17FC6 Q17DL2 A0A1S4FQK8 Q16TV9 A0A1S4F358 Q17GP4 Q16EE7 A0A0P6IW43 Q16Q60 A0A1S4EZP1 Q16XQ1 Q16GL8 A0A0P6IZM4 Q16GJ0 A0A0P6K0P2 Q17GE3,GO Cellular Component,NA,shinygo,ensembl_metazoa,7159,Aedes aegypti LVP_AGWG genes AaegL5,aalvpagwg_eg_gene
